school_nm,school_gbn,estab_gbn,addr,lon,lat
세인고등학교,고등학교,사립,전라북도 완주군 화산면 운산리 110-1,127.153993996,36.068638407
청완초등학교,초등학교,공립,전라북도 완주군 봉동읍 둔산리 864-14,127.1204786,35.9635993341
고산초등학교,초등학교,공립,전라북도 완주군 고산면 읍내리 132,127.2141307688,35.9754337474
소양서초등학교,초등학교,공립,전라북도 완주군 소양면 명덕리 1002,127.2106093,35.8598927006
간중초등학교,초등학교,공립,전라북도 완주군 용진읍 간중리 616-1,127.1817902626,35.8912669925
삼례동초등학교,초등학교,공립,전라북도 완주군 삼례읍 석전리 832,127.1062058538,35.920541897
소양초등학교,초등학교,공립,전라북도 완주군 소양면 황운리 636-2,127.2342028522,35.8568814871
비봉초등학교,초등학교,공립,전라북도 완주군 비봉면 소농리 513-2,127.1395035791,35.9979913154
봉동초등학교,초등학교,공립,전라북도 완주군 봉동읍 장기리 301,127.1621833328,35.9384937438
봉성초등학교,초등학교,공립,전라북도 완주군 봉동읍 성덕리 15-1,127.1549095579,35.9229856556
전북하이텍고등학교,고등학교,공립,전라북도 완주군 삼례읍 후정리 69-3,127.0694378876,35.9077493703
삼례중앙초등학교,초등학교,공립,전라북도 완주군 삼례읍 삼례리 205,127.0815037813,35.91952201
용진초등학교,초등학교,공립,전라북도 완주군 용진읍 상삼리 1088,127.1769587027,35.8575098188
한국게임과학고등학교,고등학교,사립,전라북도 완주군 운주면 장선리 121,127.2854062,36.082784338
운주초등학교,초등학교,공립,전라북도 완주군 운주면 장선리 507-2,127.2779170486,36.0921556703
태봉초등학교,초등학교,공립,전라북도 완주군 구이면 평촌리 1111-1,127.149607941,35.7455961971
구이중학교,중학교,공립,전라북도 완주군 구이면 원기리 543-4,127.1183737566,35.73412592
상관중학교,중학교,공립,전라북도 완주군 상관면 신리 603-5,127.2067381748,35.77103752
화산초등학교,초등학교,공립,전라북도 완주군 화산면 화평리 589,127.2040183,36.035226994
상관초등학교,초등학교,공립,전라북도 완주군 상관면 신리 562,127.2059173173,35.7723108534
남관초등학교,초등학교,공립,전라북도 완주군 상관면 용암리 410-2,127.233633791,35.7233146132
삼례중학교,중학교,공립,전라북도 완주군 삼례읍 삼례리 1691-7,127.0787163,35.9110684212
동양초등학교,초등학교,공립,전라북도 완주군 소양면 화심리 543-4,127.2712298239,35.8440749413
운주중학교,중학교,공립,전라북도 완주군 운주면 장선리 179-1,127.2813392238,36.0886899864
삼례초등학교,초등학교,공립,전라북도 완주군 삼례읍 후정리 37-2,127.0688479377,35.9107678969
삼우초등학교,초등학교,공립,전라북도 완주군 고산면 어우리 168-7,127.1805596446,35.9673005039
한별고등학교,고등학교,공립,전라북도 완주군 삼례읍 삼례리 864-1,127.0723722889,35.9078017125
화산중학교,중학교,사립,전라북도 완주군 화산면 화월리 897-6,127.1981792048,36.0352661411
전북체육중학교,중학교,공립,전라북도 완주군 소양면 해월리 377-19,127.2506487865,35.8655498025
전북체육고등학교,고등학교,공립,전라북도 완주군 소양면 해월리 377-19,127.2506487865,35.8655498025
소양중학교,중학교,공립,전라북도 완주군 소양면 황운리 750,127.2324812655,35.8565592078
봉서중학교,중학교,공립,전라북도 완주군 봉동읍 둔산리 857-2,127.1252764138,35.9660195437
전주예술고등학교,고등학교,사립,전라북도 완주군 구이면 항가리 499-3,127.108787266,35.7202333169
청명초등학교,초등학교,공립,전라북도 완주군 구이면 덕천리 196-1,127.1250329,35.7516826011
봉서초등학교,초등학교,공립,전라북도 완주군 봉동읍 둔산리 954,127.1251473994,35.9623140559
대덕초등학교,초등학교,공립,전라북도 완주군 구이면 계곡리 605-1,127.1106128218,35.6607643129
용봉초등학교,초등학교,공립,전라북도 완주군 봉동읍 구만리 470-1,127.1559487,35.9058010537
삼우중학교,중학교,사립,전라북도 완주군 이서면 상개리 580-2,127.0241716313,35.8245734383
완주고등학교,고등학교,사립,전라북도 완주군 봉동읍 장기리 153,127.1662965354,35.9407673564
용진중학교,중학교,공립,전라북도 완주군 용진읍 상운리 121-1,127.1532728926,35.8823602437
가천초등학교,초등학교,공립,전라북도 완주군 경천면 가천리 351,127.264232114,36.0328621058
고산고등학교,고등학교,공립,전라북도 완주군 고산면 서봉리 689,127.201659954,35.979898805
전주예술중학교,중학교,사립,전라북도 완주군 구이면 항가리 499-3,127.108787266,35.7202333169
완주중학교,중학교,공립,전라북도 완주군 봉동읍 낙평리 813-1,127.1603316707,35.9348585472
고산중학교,중학교,공립,전라북도 완주군 고산면 읍내리 744-1,127.2090497118,35.9786719236
송광초등학교,초등학교,공립,전라북도 완주군 소양면 대흥리 996-2,127.24524196,35.8856092649
이성초등학교,초등학교,공립,전라북도 완주군 이서면 이성리 426-1,127.0450394,35.7975710275
구이초등학교,초등학교,공립,전라북도 완주군 구이면 항가리 86-1,127.1186561842,35.7209104021
동상초등학교,초등학교,공립,전라북도 완주군 동상면 신월리 286,127.2937521,35.9577799721
이서초등학교,초등학교,공립,전라북도 완주군 이서면 상개리 539,127.0248578807,35.8200134611
봉동초등학교양화분교장,초등학교,공립,전라북도 완주군 고산면 양야리 418-2,127.2053947518,35.9457335833
