corp_nm,corp_gbn,prdct,addr,lon,lat
(주)대유글로벌 전주지점,대기업,알루미늄 휠,전라북도 완주군 봉동읍 용암리 827번지,127.1315243,35.94181664
(주)알에프세미,대기업,ECM CHIP,전라북도 완주군 봉동읍 둔산리 948-9번지,127.1248074,35.95053241
(주)케이씨씨 전주1공장,대기업,PVC샷시/ 전기전자용도자기,전라북도 완주군 봉동읍 용암리 820번지 (완주산업단지),127.1194558,35.94266371
(주)케이씨씨 전주2공장,대기업,건축용 도료/ EMC 등,전라북도 완주군 봉동읍 용암리 846번지 (완주산업단지),127.1271424,35.93687129
대주코레스(주),대기업,자동차용부품,전라북도 완주군 봉동읍 둔산리 857-5번지,127.1235645,35.96619138
삼육유기농,대기업,베지버거/ 미트/ 구프랑,전라북도 완주군 운주면 장선리 680번지,127.2707155,36.08706991
아이큐어(주),대기업,외용제의약품/ 화장품/ 건강기능식품/ 분말류 식품/ 마스크 등,전라북도 완주군 봉동읍 용암리 788번지,127.1405963,35.94871302
엘에스엠트론(주),대기업,트랙터/ 사출성형기/냉동공조기/궤도외,전라북도 완주군 봉동읍 용암리 778번지,127.1281718,35.94821701
엘에스엠트론(주),대기업,농업용기계,전라북도 완주군 봉동읍 장구리 580-7번지,127.1192307,35.96992932
현대자동차(주),대기업,중대형버스/ 중대형트럭/ 특장차,전라북도 완주군 봉동읍 둔산리 951-1번지 현대자동차 인화관,127.1284232,35.95253791
현대자동차(주) 전주공장,대기업,중.대형버스/중.대형트럭/특장차,전라북도 완주군 봉동읍 용암리 800번지 현대자동차,127.1373022,35.94530473
(사)꿈드래장애인협회 꿈드래작업장,중소기업,수배전반/ 자동제어반/ 일반조명장치 등,전라북도 완주군 고산면 어우리 583,127.1813348,35.96020939
(사)꿈드래장애인협회 희망센터,중소기업,하폐수장비 및 구성품등,전라북도 완주군 고산면 어우리 583,127.1813348,35.96020939
(유)가나안셔터,중소기업,금속 셔터문,전라북도 완주군 용진읍 구억리 847-2,127.1645653,35.87016724
(유)강남식품,중소기업,떡/ 국수,전라북도 완주군 이서면 이문리 711-2번지,127.0144332,35.82119879
(유)고려인더,중소기업,자동차 부품(트랜스미션),전라북도 완주군 봉동읍 용암리 767번지,127.1405098,35.9513269
(유)고려전기,중소기업,수배전반/ 제어반/ 분전반,전라북도 완주군 용진읍 용흥리 392-5번지,127.1747162,35.89039733
(유)네온,중소기업,태양광 및 태양열 금속구조물/ 태양열설비/ 태양광발전장치 그 외 부품,전라북도 완주군 삼례읍 수계리 1401,127.1156024,35.93898718
(유)눈부신자연애,중소기업,막걸리(생/ 꾸지뽕/ 산양산삼)/ 발효주(과실/생강/채소),전라북도 완주군 소양면 황운리 128-4번지,127.2462281,35.86595892
(유)늘푸른에너지,중소기업,금속지지대. 태양광발전 접속함,전라북도 완주군 봉동읍 구암리 807-13,127.1077348,35.95039493
(유)다미,중소기업,찰보리빵/ 쿠키,전라북도 완주군 봉동읍 낙평리 375-3번지,127.1678253,35.9319883
(유)다수테크,중소기업,자동차부품,전라북도 완주군 봉동읍 용암리 767-9번지,127.1410452,35.95082842
(유)대성하이텍,중소기업,프레스 금형,전라북도 완주군 봉동읍 둔산리 924-5번지,127.1328899,35.95567964
(유)대원이엔씨,중소기업,휠,전라북도 완주군 봉동읍 용암리 826번지,127.1321974,35.94288198
